transit_timestamp,bus_route,ridership,transfers
03/27/2024 03:00:00 PM,BX12+,831,139
01/01/2021 03:00:00 AM,BX12+,0,0
11/28/2023 12:00:00 PM,BX12+,636,130
10/25/2022 12:00:00 PM,BX12+,821,165
08/28/2021 01:00:00 AM,BX12+,1,0
01/26/2024 07:00:00 PM,BX12+,313,59
10/10/2023 05:00:00 PM,BX12+,958,177
10/26/2020 06:00:00 PM,BX12+,842,148
06/06/2022 07:00:00 PM,BX12+,666,115
11/15/2020 09:00:00 PM,BX12+,147,22
10/18/2023 04:00:00 AM,BX12+,0,0
12/24/2022 11:00:00 AM,BX12+,407,66
04/04/2024 01:00:00 PM,BX12+,614,112
05/10/2023 12:00:00 AM,BX12+,0,0
11/17/2022 02:00:00 PM,BX12+,1068,207
10/12/2023 09:00:00 PM,BX12+,185,28
08/04/2022 07:00:00 PM,BX12+,602,105
08/30/2024 02:00:00 AM,BX12+,0,0
05/09/2022 10:00:00 AM,BX12+,820,183
10/26/2024 03:00:00 AM,BX12+,0,0
07/29/2021 11:00:00 PM,BX12+,27,1
01/19/2024 04:00:00 AM,BX12+,0,0
12/21/2023 02:00:00 PM,BX12+,788,140
04/21/2022 09:00:00 PM,BX12+,219,33
07/07/2021 08:00:00 AM,BX12+,1495,270
04/30/2021 07:00:00 PM,BX12+,792,116
01/02/2021 09:00:00 PM,BX12+,168,17
10/27/2021 09:00:00 PM,BX12+,297,47
09/11/2020 03:00:00 AM,BX12+,0,0
09/29/2022 09:00:00 AM,BX12+,996,215
02/19/2022 03:00:00 AM,BX12+,0,0
01/11/2021 10:00:00 PM,BX12+,121,17
06/11/2022 08:00:00 PM,BX12+,473,60
09/01/2021 09:00:00 AM,BX12+,942,181
08/06/2022 12:00:00 PM,BX12+,700,139
10/27/2024 02:00:00 PM,BX12+,606,103
04/05/2024 05:00:00 PM,BX12+,790,148
11/29/2021 06:00:00 AM,BX12+,1065,151
10/12/2023 02:00:00 AM,BX12+,0,0
10/02/2023 02:00:00 AM,BX12+,0,0
11/14/2021 09:00:00 PM,BX12+,167,19
11/09/2024 11:00:00 PM,BX12+,21,1
04/14/2022 04:00:00 PM,BX12+,1341,241
08/20/2022 10:00:00 PM,BX12+,155,26
11/27/2020 05:00:00 AM,BX12+,82,16
11/11/2023 04:00:00 AM,BX12+,0,0
01/09/2024 04:00:00 AM,BX12+,0,0
11/15/2023 01:00:00 PM,BX12+,765,143
08/26/2023 05:00:00 PM,BX12+,664,85
10/02/2024 03:00:00 AM,BX12+,0,0
07/05/2024 05:00:00 AM,BX12+,98,8
03/11/2022 03:00:00 AM,BX12+,0,0
07/03/2021 10:00:00 PM,BX12+,148,31
02/26/2024 06:00:00 PM,BX12+,566,111
04/05/2022 05:00:00 AM,BX12+,185,17
07/20/2021 07:00:00 PM,BX12+,704,97
06/23/2022 04:00:00 PM,BX12+,1309,255
10/06/2020 10:00:00 AM,BX12+,783,182
09/19/2022 05:00:00 PM,BX12+,1018,219
07/31/2024 04:00:00 AM,BX12+,0,0
03/24/2021 02:00:00 PM,BX12+,1175,233
07/25/2021 12:00:00 AM,BX12+,0,0
08/27/2023 10:00:00 PM,BX12+,97,15
07/31/2023 06:00:00 PM,BX12+,729,172
10/07/2024 10:00:00 PM,BX12+,64,16
07/17/2021 06:00:00 AM,BX12+,283,32
12/13/2020 05:00:00 AM,BX12+,2,0
01/18/2022 08:00:00 PM,BX12+,342,61
07/29/2022 06:00:00 AM,BX12+,855,124
03/02/2022 06:00:00 AM,BX12+,1104,143
06/16/2024 04:00:00 PM,BX12+,468,68
06/06/2023 05:00:00 PM,BX12+,1161,207
11/14/2021 12:00:00 PM,BX12+,735,126
11/18/2022 12:00:00 AM,BX12+,1,0
08/12/2023 11:00:00 AM,BX12+,630,119
06/26/2023 08:00:00 AM,BX12+,1341,254
07/23/2022 08:00:00 PM,BX12+,359,45
01/07/2022 10:00:00 AM,BX12+,500,90
04/20/2021 11:00:00 AM,BX12+,811,200
03/03/2022 05:00:00 AM,BX12+,142,12
10/19/2022 12:00:00 AM,BX12+,0,0
02/03/2024 11:00:00 PM,BX12+,22,5
10/04/2021 11:00:00 AM,BX12+,820,189
06/02/2021 03:00:00 PM,BX12+,1219,264
01/11/2022 04:00:00 AM,BX12+,0,0
04/22/2021 10:00:00 PM,BX12+,132,17
09/08/2024 06:00:00 PM,BX12+,481,71
05/14/2021 03:00:00 PM,BX12+,1267,261
12/13/2022 09:00:00 PM,BX12+,229,41
06/30/2022 02:00:00 AM,BX12+,0,0
08/27/2022 07:00:00 AM,BX12+,596,81
11/02/2020 12:00:00 AM,BX12+,0,0
11/13/2023 10:00:00 PM,BX12+,88,16
07/24/2023 03:00:00 AM,BX12+,0,0
